publication,author,content
podcast,Elizabeth Holmes,"First, they think you're crazy, then they fight you, and then all of a sudden you change the world."
messages,Elizabeth Holmes,‘You are the breeze in desert for me.’ ‘My water.’ ‘And ocean.’ ‘Meant to be only together tiger.’
messages,Elizabeth Holmes,"The right to protect the health and well-being of every person, of those we love, is a basic human right."
messages,Elizabeth Holmes,"Fundamentally, the answers to our challenges in healthcare relies in engaging and empowering the individual."
messages,Elizabeth Holmes,We know more about our credit cards than we know about our bodies.
messages,Elizabeth Holmes,I love adventures.
messages,Elizabeth Holmes,"The art of phlebotomy originated with bloodletting in 1400 B.C., and the modern clinical lab emerged in the 1960s - and it has not fundamentally evolved since then. You go in, sit down, they put a tourniquet on your arm, stick you with a needle, take these tubes and tubes of blood"
messages,Elizabeth Holmes,"We've created these little tiny tubes, which we call the 'nanotainers,' which are designed to replace the big, traditional tubes that come from your arm, and instead allow for all the testing to be done from a tiny drop from a finger."
messages,Elizabeth Holmes,What I really want out of life is to discover something new: something mankind didn't know was possible to do.
messages,Elizabeth Holmes,"Today, blood work and science are able to provide more of a movie of your health, identifying trends before they become an issue."
messages,Elizabeth Holmes,"I work all the time, and I'm basically in the office from the time I wake up and then working until I go to sleep every day."
messages,Elizabeth Holmes,"Too often you see someone fall, break a rib, go in to the doctor and discover a tumor."
messages,Elizabeth Holmes,"Every time you create something new, there should be questions. And to me, that's a sign that you've actually done something that is transformative."
messages,Elizabeth Holmes,"When I thought about having the greatest impact with my life, I thought about all the times people lose loved ones because diseases weren't detected early enough. I thought, 'I can play a role there.'"
messages,Elizabeth Holmes,"With some diseases, like type 2 diabetes, if people get alerted early, they can take steps to avert getting sick."
messages,Elizabeth Holmes,"I really believe that if we were from another planet, and we sat down to put our heads together on torture experiments, the concept of sticking a needle into someone and sucking their blood out would probably qualify as a pretty good one."
messages,Elizabeth Holmes,No one thinks of the lab-testing experience as positive. It should be! One way to create that is to help people engage with the data once their physicians release it. You can't do that if you don't really understand why you're getting certain tests done and when you don't know what the results mean when you get them back.
messages,Elizabeth Holmes,"Patients are empowered by having better access to their own health information, and then by owning their own data."
messages,Elizabeth Holmes,I definitely am afraid of needles. It's the only thing that actually scares me.
messages,Elizabeth Holmes,"It drives me crazy when people talk about the scale as an indicator of health, because your weight doesn't tell you what's going on at a biochemical level."
messages,Elizabeth Holmes,"My father did a lot of disaster relief work, and he was always in places where there was a lot of pain."
messages,Elizabeth Holmes,"I think a lot of young people have incredible ideas and incredible insights, but sometimes they wait before they go give their life to something. What I did was just to start a little earlier."
messages,Elizabeth Holmes,Thernos 1.0 is an external point-of-care BlackBerry.
messages,Elizabeth Holmes,"Anywhere from 40% to 60% of people, when they're given a requisition by a doctor to go get tested, don't, because they're scared of needles or the locations are inconvenient or the cost is too high. And if you're not even getting tested, how is it possible that we're going to move toward an era of preventive medicine?"
messages,Elizabeth Holmes,What matters is how well we do in trying to make people's lives better. That's why I'm doing this. That's why I work the way that I work. And that's why I love what I'm doing so much.
messages,Elizabeth Holmes,I grew up in a family of people who wanted to make a difference in the world.
twitter,Elizabeth Holmes,There is no dream you can’t achieve. Don’t let anyone tell you otherwise. #ILookLikeAnEngineer
twitter,Elizabeth Holmes,"“You have to work smarter and harder than everyone else...In the journey of life we are always tested.  When it’s hardest is when it matters most to stay the course... Define what is non-negotiable to you, what you are willing to fight for, die for, live for.  Many of us know too well how helpless we feel when someone we love is ill and we want to help them become well again. That is my non-negotiable.”"
twitter,Elizabeth Holmes,Success is not the result of spontaneous combustion. You must set yourself on fire.
twitter,Elizabeth Holmes,"""People don't generally walk out of a lab test and think, that's awesome. And we want them to."""
twitter,Elizabeth Holmes,"Define what is non-negotiable to you, what you are willing to fight for, die for, live for."
twitter,Elizabeth Holmes,If you got fired you’d still want to do it
twitter,Elizabeth Holmes,"Incredibly special to be w/u & speak abt some of our shared missions. Have to say, we look good in matching outfits."
twitter,Elizabeth Holmes,Happy birthday to the late Margaret Thatcher. #ironsisters
twitter,Elizabeth Holmes,We offered to bring our technology to @WSJ offices… and they denied that request to show it to them
twitter,Elizabeth Holmes,We chose to jump into this FDA world…knowing this would be hard
twitter,Elizabeth Holmes,Do everything you can to be the best in science and math and engineering.
twitter,Elizabeth Holmes,"On this day 60 years ago, a brave woman stood for what she believed in and changed the world. #RosaParks #ironsisters"
twitter,Elizabeth Holmes,Very special meeting with amazing providers we have the privilege of serving in Arizona. #theranos
twitter,Elizabeth Holmes,"When you walk in for a Theranos lab test, we treat you as we’d like to be treated. As a guest, not a number."
twitter,Elizabeth Holmes,Congrats to the amazing @serenawilliams on SI Sportsperson of the Year. Keep shattering glass ceilings #ironsisters
messages,Sunny Balwani,“PLEASE NOTE THE SOFTWARE TEAM WAS HERE TIL 3:07AM — AND IS ALREADY HERE NOW AT 10AM.”
messages,Elizabeth Holmes,“WE ARE LAUNCHING NO MATTER WHAT.”
messages,Sunny Balwani,"I know things are tough but don’t give up on your dreams. Keep focused and keep fighting. Plan, focus, stay organized and stay in control. One person who has a plan and executes can defeat an army. "
messages,Sunny Balwani,I know what you are thinking and going thru. Control your thoughts and don’t let fear control you. Breathe and in every hour be conscious of your breath and breath out fear. 
messages,Elizabeth Holmes,"We built the business around our partnerships with the pharmaceutical companies and our contracts with the military,"
trial,Elizabeth Holmes,"‘Every morning, I will force myself out of bed’"
trial,Elizabeth Holmes,I could be taught to overcome that through a formula for success in business he told me about and he said he would teach me
trial,Elizabeth Holmes,I took away that we were hitting the design goals for this system
news,Elizabeth Holmes,Weak accusations - endorses everything - happened - if - true - raise doubt - want - board looks into it - finds nothing to any of it - looked into it - have not looked at it independently -
news,Elizabeth Holmes,Haven’t addressed – doesn’t shake my confidence – my business judgement – no reason – this announcement – know a month from now – business judgement correct at the time. Never for sure.
twitter,Trevor Milton,I never deceived anyone!
twitter,Trevor Milton,Coward’s run leaders stay and fight for integrity.
podcast,Trevor Milton,"I can assume any role [I] want[] at any time, whenever it needs and all . . . roles report directly up to the executive chairman . . . in other words, the CEO reports directly to me and I have the ability to . . . assume or manage any division, any person . . . anyone inside the company, any given time I need to, because they believe that I have . . . more knowledge and more vision than anyone in the company. And so they wanted to make sure I had no restrictions on that."
